Date,Open,High,Low,Close,Adj Close,Volume
1/10/2011,1282.900024,1293.23999,1281.23999,1293.23999,1293.23999,4661590000
1/17/2011,1293.219971,1296.060059,1271.26001,1283.349976,1283.349976,19899340000
1/24/2011,1283.290039,1302.670044,1275.099976,1276.339966,1276.339966,23156650000
1/31/2011,1276.5,1311,1276.5,1310.869995,1310.869995,21726860000
2/7/2011,1311.849976,1330.790039,1311.73999,1329.150024,1329.150024,20109950000
2/14/2011,1328.72998,1344.069946,1324.609985,1343.01001,1343.01001,12589110000
2/21/2011,1338.910034,1338.910034,1294.26001,1319.880005,1319.880005,7712050000
2/28/2011,1321.609985,1332.280029,1302.579956,1321.150024,1321.150024,12022480000
3/7/2011,1322.719971,1327.680054,1291.98999,1304.280029,1304.280029,20669090000
3/14/2011,1301.189941,1301.189941,1249.050049,1279.209961,1279.209961,23905220000
3/21/2011,1281.650024,1319.180054,1281.650024,1313.800049,1313.800049,20090110000
3/28/2011,1315.449951,1337.849976,1305.26001,1332.410034,1332.410034,18297330000
4/4/2011,1333.560059,1339.459961,1322.939941,1328.170044,1328.170044,19888170000
4/11/2011,1329.01001,1333.77002,1302.420044,1319.680054,1319.680054,19701690000
4/18/2011,1313.349976,1337.48999,1294.699951,1337.380005,1337.380005,15933560000
4/25/2011,1337.140015,1364.560059,1331.469971,1363.609985,1363.609985,17617650000
5/2/2011,1365.209961,1370.579956,1329.170044,1340.199951,1340.199951,20363720000
5/9/2011,1340.199951,1359.439941,1332.030029,1337.77002,1337.77002,19539110000
5/16/2011,1334.77002,1346.819946,1318.51001,1333.27002,1333.27002,19514380000
5/23/2011,1333.069946,1334.619995,1311.800049,1331.099976,1331.099976,17595530000
5/30/2011,1331.099976,1345.199951,1297.900024,1300.160034,1300.160034,16204530000
6/6/2011,1300.26001,1300.26001,1268.280029,1270.97998,1270.97998,18551800000
6/13/2011,1271.310059,1292.5,1258.069946,1271.5,1271.5,20466010000
6/20/2011,1271.5,1298.609985,1262.869995,1268.449951,1268.449951,19888020000
